Game,Developer(s),Publisher(s),Release date,Sales
Super Mario 64,Nintendo EAD,Nintendo,1996-06-23,11910000
Mario Kart 64,Nintendo EAD,Nintendo,1996-12-14,9870000
GoldenEye 007,Rare,Nintendo,1997-08-25,8090000
The Legend of Zelda: Ocarina of Time,Nintendo EAD,Nintendo,1998-11-21,7600000
Super Smash Bros.,HAL Laboratory,Nintendo,1999-01-21,5550000
Pokémon Stadium,Nintendo EAD,Nintendo,1999-04-30,5460000
Donkey Kong 64,Rare,Nintendo,1999-11-22,5270000
Diddy Kong Racing,Rare,Rare,1997-11-14,4880000
Star Fox 64,Nintendo EAD,Nintendo,1997-04-27,4000000
Banjo-Kazooie,Rare,Nintendo,1998-06-29,3650000
Pokémon Snap,HAL Laboratory and Pax Softonica,Nintendo,1999-03-21,3630000
The Legend of Zelda: Majora's Mask,Nintendo EAD,Nintendo,2000-04-27,3360000
Star Wars Episode I: Racer,LucasArts,LucasArts,1999-04-30,3100000
Banjo-Tooie,Rare,Nintendo,2000-11-20,3000000
Wave Race 64,Nintendo EAD,Nintendo,1996-09-27,2940000
Yoshi's Story,Nintendo EAD,Nintendo,1997-12-21,2850000
Mario Party,Hudson Soft,Nintendo,1998-12-18,2700000
Star Wars: Shadows of the Empire,LucasArts,Nintendo,1996-12-03,2600000
Pokémon Stadium 2,Nintendo EAD,Nintendo,2000-12-14,2540000
Perfect Dark,Rare,Rare,2000-05-22,2520000
Mario Party 2,Hudson Soft,Nintendo,1999-12-17,2480000
Mario Tennis,Camelot Software Planning,Nintendo,2000-07-21,2320000
Star Wars: Rogue Squadron,Factor 5 and LucasArts,Nintendo,1998-12-07,2170000
1080° Snowboarding,Nintendo EAD,Nintendo,1998-02-28,2030000
Excitebike 64,Left Field Productions,Nintendo,2000-04-30,2000000
Mario Party 3,Hudson Soft,Nintendo,2000-12-07,1910000
WCW/nWo Revenge,AKI Corporation and Asmik Ace Entertainment,THQ,1998-10-26,1880000
"Hey You, Pikachu!",Ambrella,Nintendo,1998-12-12,1830000
Kirby 64: The Crystal Shards,HAL Laboratory,Nintendo,2000-03-24,1770000
Cruis'n USA,Williams,Nintendo,1996-12-03,1720000
Tony Hawk's Pro Skater,Edge of Reality,Activision,2000-02-29,1610000
F-1 World Grand Prix,Paradigm Entertainment,Nintendo,1998-07-31,1600000
Turok: Dinosaur Hunter,Iguana Entertainment,Acclaim Entertainment,1997-03-04,1500000
Mario Golf,Camelot Software Planning,Nintendo,1999-06-11,1470000
Turok 2: Seeds of Evil,Iguana Entertainment,Acclaim Entertainment,1998-10-21,1400000
Paper Mario,Intelligent Systems,Nintendo,2000-08-11,1370000
WCW vs. nWo: World Tour,AKI Corporation and Asmik Ace Entertainment,THQ,1997-11-30,1300000
Kobe Bryant in NBA Courtside,Left Field Productions,Nintendo,1998-04-27,1190000
WWF No Mercy,AKI Corporation and Asmik Ace Entertainment,THQ,2000-11-17,1190000
Jet Force Gemini,Rare,Rare,1999-10-11,1160000
WWF WrestleMania 2000,AKI Corporation and Asmik Ace Entertainment,THQ,1999-10-12,1140000
Pilotwings 64,Nintendo EAD / Nintendo R&D3 / Paradigm Entertainment,Nintendo,1996-06-23,1120000
F-Zero X,Nintendo EAD,Nintendo,1998-07-14,1100000
Pocket Monsters' Stadium,Nintendo EAD and HAL Laboratory,Nintendo,1998-08-01,1094765
007: The World Is Not Enough,Eurocom,Electronic Arts,2000-10-17,1080000
Namco Museum 64,Mass Media Games,Namco,1999-10-31,1040000
